 Month    Low     2      3      4      5      6      7      8      9    High
192701  -0.47   0.83   4.17   2.40  -0.31   2.47   2.17   0.64  -0.62   1.18
192702   8.46   3.95   7.53   8.39   5.16   5.08   4.95   4.63   6.02   5.46
192703  -6.02  -5.20  -2.25  -1.60  -1.63  -1.61   0.35  -1.40   0.37  -0.78
192704   3.32   0.26   0.04  -1.09  -0.27   0.39   1.17  -0.44   2.52   4.16
192705   1.19   3.21   5.40   5.68   7.50   9.41   6.42   7.79   7.90   8.68
192706  -6.75  -0.51  -2.16  -2.98  -2.60   0.85  -1.49  -0.80  -2.70  -2.36
192707   6.86   4.52   5.14   6.18   5.57   4.86   7.46   4.66   5.81   9.69
192708  -2.42   3.33  -0.75   0.14   1.26   0.79   1.78   0.53   0.35  -1.57
192709  -0.37   4.42   0.96   2.67   1.45   3.71   3.34   3.45   7.16   3.70
192710  -6.63  -4.49  -4.66  -4.66  -1.45  -3.07  -3.30  -1.10  -4.42  -4.51
192711  29.59   9.49   8.79   8.24   6.80   8.84   8.36   6.97   8.04   8.25
192712   4.12   0.49   1.96   4.25   5.57   2.93   1.75   1.50   4.68   4.90
192801   2.86   3.43   3.65   7.59   2.14   0.27   3.38   0.06   0.56   9.39
192802   0.37  -2.56  -4.46  -0.66  -1.37  -0.65  -2.86  -3.95  -3.28  -5.19
192803   7.15   5.62   8.58   4.02   5.82   7.68   6.28   7.21   7.65  11.77
192804   7.21   9.47  14.79  13.44   7.25  14.72   3.47   3.83   3.90   8.23
192805  14.10   0.55   3.61  -0.18   2.65   0.91   3.43   3.77   4.24   5.67
192806  -9.89  -6.53  -7.48  -5.75  -6.64  -4.12  -6.89  -7.69  -6.38  -7.11
192807  -2.27  -0.37  -1.04   0.20  -0.28   0.91   1.96  -0.42   1.29   1.57
192808   4.00   4.49   4.56   2.83   6.43   8.40   5.15   8.42   8.79   6.85
192809   4.66   6.71   3.17   1.76   3.32   5.69   5.57   5.36   6.22   8.15
192810  -0.85  -0.88   1.67  -0.07  -0.17   0.46   1.01   2.69   3.12   9.28
192811  10.01  12.01   8.85  10.68  10.49  13.56  14.90   8.96  12.09  19.17
192812  -5.60  -0.90   0.90  -0.83  -0.95   2.65   1.18   1.14   0.12  -0.58
192901   1.78   2.43   1.75   2.24   3.97   2.30   4.74   5.08   5.43   2.80
192902  -4.25   0.04   1.44   0.05  -1.16   0.83   1.78  -0.38   3.82   3.67
192903  -4.56  -2.77  -3.64  -2.07  -2.15  -3.26  -5.48  -2.39  -4.30   0.72
192904  -3.17   2.01   2.31  -0.22   0.73   1.40   2.94   1.85   2.22   3.09
192905 -13.14 -12.29  -6.86  -8.81  -5.36  -7.31  -6.92  -7.32 -10.00 -11.96
192906   3.79   5.51   3.83   6.30   4.64   7.49   7.57  10.70  14.88  13.11
192907   0.62  -2.24   2.03   0.34   2.64   4.62   1.41   3.16   3.61   1.58
192908  -3.04   0.36  -0.20  -0.24   1.09   3.34   7.53   7.47   7.00   5.76
192909  -7.02  -7.94  -6.08  -3.63  -4.21  -3.18  -4.09  -4.04  -2.37  -1.21
192910 -22.58 -22.22 -21.14 -20.54 -15.51 -16.21 -15.93 -19.14 -20.77 -27.28
192911 -10.95 -13.84 -12.01  -7.97 -11.96  -8.26 -11.00 -10.51 -13.81 -16.06
192912 -12.67 -10.39  -3.65  -1.92  -2.30  -1.80  -3.62   1.35   2.12   4.30
193001  24.48  21.22  14.16   9.50   9.11   6.91   8.06   6.06   4.98   4.44
193002   4.79   4.01   4.16   2.67   1.86   2.02   2.46   1.32   2.30   3.84
193003  25.03  12.83  10.81   7.89  11.27   7.60   6.69   7.19   6.40   6.92
193004  -4.83  -2.64  -9.73  -7.21  -4.91  -4.43  -6.73  -4.00  -0.10  -2.80
193005  -9.77  -7.50  -3.53  -3.88  -2.14  -4.06  -1.45  -2.52  -0.27  -2.43
193006 -23.92 -22.64 -21.89 -19.12 -18.94 -17.62 -13.83 -11.87 -14.96 -20.81
193007   5.82   3.65   4.20  -0.36   7.18   4.50   4.04   1.57   2.05   4.94
193008  -7.01  -2.98  -1.75  -3.37  -0.26  -2.31   0.36  -1.78   0.93   0.60
193009 -21.76 -20.60 -20.22 -16.07 -14.51 -14.05 -12.93 -11.60 -10.11  -9.87
193010 -10.79 -13.89 -12.69 -13.56  -9.82  -8.66  -5.69  -8.71  -7.01  -7.71
193011  -1.51   0.59  -3.98  -2.27  -3.08  -2.47  -3.67  -3.06  -1.15  -0.76
193012 -24.93 -18.15 -17.78 -14.93 -16.17 -10.42 -13.55  -8.69  -6.77  -5.59
193101  28.91  25.45  15.59  15.04  12.48  11.59  10.63   6.52   4.98  11.48
193102  25.11  26.08  17.53  19.63  18.15  15.83  11.97  10.21   7.56   7.20
193103 -11.07 -11.24  -7.94  -2.52  -7.62  -6.98  -9.26  -4.59  -3.45   1.96
193104 -22.98 -19.36 -19.53 -17.45 -15.22 -16.03 -14.50  -9.90 -10.50  -8.58
193105 -17.78 -19.40 -16.40 -14.76 -15.72 -14.47 -12.90 -11.94 -10.10  -8.40
193106  27.77  28.90  21.72  21.05  22.89  18.54  14.43  12.14   9.63   8.54
