 Month	  Low     2      3      4      5      6      7      8      9    High 
192701  -2.26  -4.63   2.73  -0.54  -0.44   0.96   0.79   0.38  -0.43  -0.22
192702   2.47   6.01   6.22   9.20   3.77   4.08   2.85   3.29   4.25   7.01
192703 -14.60  -3.04  -3.87  -4.76  -0.48  -2.32   2.14   0.50   1.10   5.47
192704   3.03  -2.38  -2.45  -1.49   1.61  -0.12   2.09  -0.58   1.90   5.44
192705   0.69   4.38   4.96   3.27   6.16   5.88   3.89   6.56   8.16   6.25
192706  15.22  -3.50  -3.50  -2.66  -2.30  -0.97  -2.02  -1.57  -2.46  -1.51
192707  -2.80   5.91   4.03   5.10   8.35   6.98   8.49   7.06   6.48  13.18
192708  -0.55   0.84   1.38   6.86   3.02   1.17   2.36   2.42   0.33   5.56
192709  -0.27   4.03   3.40   3.02   4.17   5.33   4.51   4.29   5.67   7.35
192710  -6.01  -8.26  -1.91  -3.07  -3.24  -3.60  -3.25  -6.03  -5.27  -6.07
192711  13.70   6.07   5.22   5.58   6.67   6.41   7.71   7.70  10.14   6.36
192712   4.88  12.11   0.50   4.10   2.03   1.08   1.77   1.14   4.64   5.07
192801  -0.34  -1.30  -1.54  -2.14   0.24   0.12  -0.27   0.42  -1.46  -0.88
192802  -0.90  -1.26  -1.18  -1.62  -1.27  -0.21  -1.39  -2.31  -2.71   0.23
192803   7.53   6.94   6.66   4.41   4.14   8.05   6.27   6.55  19.51  12.79
192804   7.51   7.48   8.64  10.13   4.17   4.23   1.45   2.98   1.25   3.24
192805   2.99   1.87  -2.92  -0.90   1.36   0.94   2.74   1.31   4.19   5.16
192806  -7.75  -8.50  -3.97  -3.97  -4.07  -3.47  -5.61  -5.07  -4.94  -3.54
192807  -3.15   1.14  -0.25   0.24   1.23   0.86   0.48  -0.05   2.52   2.18
192808   7.12   3.35   3.71   4.68   6.19   6.64   7.31   9.62   9.42   8.79
192809   1.48   5.26   0.49   1.70   0.43   4.21   4.54   4.16   5.52   5.50
192810  -3.80  -1.31   2.31   0.00   0.53   1.32   1.00   4.18   1.54   7.30
192811   7.68   7.99   9.32  11.14  11.51   9.98  18.68  10.64   6.86  24.75
192812  -3.04   0.68  -0.90  -0.31  -0.53  -1.86   1.49   3.38   0.31   2.18
192901   6.02   2.29   3.21   5.08   6.19   1.61   3.57   9.13   5.97  -2.25
192902  -3.76   2.35  -0.74  -2.17  -0.81  -1.24  -0.39   0.35   0.74   3.51
192903  -0.64  -0.12  -1.16  -2.32   1.47   1.90   0.16  -2.18  -2.88   2.07
192904  -8.00   2.74  -1.41   1.25   0.24   1.56   3.06   4.16   2.71   0.80
192905 -10.19  -9.59  -7.85  -4.15  -1.21  -8.60  -3.78  -3.93  -5.78 -12.55
192906  -1.82   7.01   3.71   6.24   5.05   6.43  11.19  12.65  18.45   9.37
192907   7.64  -0.27   1.29  -1.52   4.97   5.43   7.29   4.44   4.96   5.69
192908  -4.61   2.74   3.62   3.38   4.59   7.30  11.68  12.50  13.52   8.43
192909 -13.55 -11.00  -5.18  -4.60  -3.70  -4.62  -2.31  -7.77  -5.95  -2.93
192910 -28.41 -26.65 -26.41 -17.18 -10.11 -14.42  -8.98 -15.43 -15.88 -27.59
192911 -14.31 -14.48 -13.33  -9.00  -9.14  -7.31  -8.59 -10.63 -12.48 -16.31
192912  -0.27  -8.44   1.96   2.99   0.74   0.26  -4.86   2.21   2.32   4.48
193001  13.61   5.92   4.48   5.95   6.47   8.10   3.92   3.70   7.63   3.81
193002   2.50   0.26   2.97   1.21   4.07   0.37   0.74   3.19   2.12   3.65
193003  13.72  10.63  12.12   9.88   6.37   5.62   5.98   6.72   5.96   8.82
193004  -1.65  -0.39 -10.10  -9.74  -4.65   1.49  -3.22  -3.37  -1.06  -1.54
193005  -0.27  -8.08   4.64   0.00   1.36  -2.70  -4.14  -1.49  -0.89  -0.86
193006 -26.48 -24.52 -15.93 -22.42 -16.82 -17.21 -13.74 -11.12 -13.35 -16.02
193007   4.81   5.99   5.52   5.08   9.23   4.08   5.21   3.22   1.40   4.66
193008  -5.10  -0.09  -3.62  -4.07   1.00   1.29   2.33   0.64   0.29   1.19
193009 -20.82 -23.10 -23.00 -17.56 -14.24 -11.77 -13.21 -10.33  -8.15 -12.45
193010 -17.89 -14.24 -16.46 -15.15 -11.79  -9.97  -6.84  -6.16  -9.03  -7.30
193011   1.20   3.17  -4.17  -1.35  -4.04  -3.32  -3.38  -0.93  -3.47  -1.80
193012 -23.82 -13.69 -18.00 -13.78 -10.66  -9.47  -9.32  -4.33  -5.13  -2.67
193101  25.34  17.63   9.04  11.54  10.53   3.83   4.79   4.55   5.91   5.52
193102  19.77  30.83  19.23  20.87  19.14  12.06  13.01   8.53   7.81   6.43
193103 -15.35 -14.89 -10.23 -10.77 -11.59  -5.07  -8.98  -5.13  -4.77  -1.76
193104 -27.32 -17.23 -19.95 -18.47 -15.57 -11.99 -10.59  -9.08  -5.95  -4.07
193105 -18.63 -19.42 -18.56 -13.93 -15.42 -14.79 -12.85 -13.26 -11.65  -9.93
